ubigeo,total_atenciones,total_atendidos,n_ipress_emergencia
010101,56366,22057,6
010201,19636,13447,4
010307,2700,2595,1
010401,27084,14259,1
010601,4788,4788,2
010701,24580,19158,4
010704,371,371,1
020101,45928,45921,14
020102,0,0,3
020103,0,0,1
020104,0,0,2
020105,10132,8490,22
020106,0,0,2
020107,0,0,1
020108,0,0,4
020109,0,0,1
020110,0,0,3
020111,0,0,2
020112,0,0,4
020201,0,0,1
020202,0,0,3
020203,0,0,1
020204,0,0,2
020205,0,0,2
020401,907,907,2
020402,0,0,2
020501,714,714,2
020502,0,0,1
020503,0,0,1
020504,0,0,3
020505,0,0,3
020506,0,0,1
020507,22,22,1
020508,94,94,1
020509,0,0,2
020510,0,0,2
020511,0,0,1
020512,0,0,1
020513,0,0,2
020514,0,0,1
020515,0,0,1
020601,13102,7657,8
020602,0,0,1
020603,0,0,2
020604,0,0,1
020605,0,0,1
020606,0,0,5
020607,0,0,1
020608,0,0,1
020609,0,0,1
020610,0,0,1
020611,0,0,4
020702,8525,420,3
020801,30711,23921,6
020802,0,0,3
020803,0,0,2
020804,0,0,2
020901,0,0,1
020902,0,0,1
020903,0,0,1
020904,0,0,4
020905,0,0,1
020906,0,0,1
020907,0,0,1
021001,6175,3693,2
021004,101,101,4
021014,0,0,2
021101,20715,11062,5
021102,0,0,1
021103,0,0,3
021104,0,0,1
021105,0,0,2
021201,10709,9813,9
021202,0,0,3
021203,0,0,2
021204,0,0,1
021205,0,0,2
021206,0,0,8
021207,0,0,6
021208,0,0,3
021209,0,0,2
021210,0,0,3
021301,7221,2532,2
021302,0,0,1
021303,6,6,2
021304,78,78,2
021305,51,51,1
021306,0,0,5
021307,0,0,3
021308,56,53,1
021401,0,0,1
021402,0,0,1
021403,0,0,1
021404,0,0,1
021405,0,0,1
021406,0,0,1
021407,0,0,1
021408,0,0,1
021409,0,0,1
021410,0,0,1
021501,180,97,2
021503,1671,692,2
021508,65,38,2
021509,97,56,2
021601,4248,4088,7
021602,0,0,3
021603,62813,62813,6
021604,56067,56054,2
021701,7676,2989,2
021702,0,0,1
021703,0,0,1
021704,0,0,1
021705,0,0,2
021706,0,0,1
021707,0,0,2
021708,0,0,1
021709,0,0,1
021710,0,0,2
021801,368153,197552,18
021802,0,0,3
021803,31505,15097,2
021805,0,0,3
021806,3692,1879,3
021807,0,0,3
021808,0,0,2
021809,143769,101274,10
021901,3063,2263,3
021902,5193,897,1
021903,2503,407,1
021904,0,0,2
021905,3948,1111,2
021906,0,0,3
021907,24446,2772,2
021908,0,0,2
021909,0,0,4
021910,0,0,2
022001,9725,9271,7
022002,0,0,1
022003,0,0,5
022004,0,0,1
022005,0,0,4
022006,0,0,2
022007,0,0,4
022008,0,0,6
030101,124686,49235,4
030104,5516,4340,1
030201,68946,32928,5
030401,54818,18603,5
030402,11536,4175,3
030403,10903,3868,2
030404,51997,17789,5
030405,5926,2089,1
030406,45486,16100,9
030407,6261,2284,2
030408,7297,2628,2
030409,26667,9388,5
030410,16289,5960,5
030411,8451,2921,1
030412,11292,4056,3
030413,10704,3781,2
030414,28225,9849,4
030415,23194,7997,3
030416,17043,6089,4
030417,21532,7490,3
030501,37053,7243,1
030601,2732,2454,2
030602,2660,310,1
030702,0,0,2
030706,0,0,1
030708,0,0,1
030709,0,0,1
030710,5,5,1
030712,217,211,1
030714,0,0,2
040101,635720,296256,19
040102,0,0,6
040103,46660,37971,10
040104,29891,22014,13
040105,0,0,1
040106,0,0,2
040107,17552,11526,9
040108,28,28,12
040109,6441,6003,7
040110,1886,1441,6
040111,0,0,2
040112,184157,143117,18
040113,0,0,2
040114,0,0,1
040115,0,0,1
040116,0,0,1
040117,0,0,2
040118,0,0,1
040119,0,0,2
040120,0,0,3
040121,0,0,1
040122,3248,1567,9
040123,0,0,1
040124,0,0,3
040125,0,0,2
040126,1059418,273684,10
040127,0,0,1
040128,0,0,3
040129,0,0,7
040201,16961,9418,2
040202,0,0,3
040203,0,0,1
040204,0,0,2
040205,0,0,3
040206,0,0,3
040207,0,0,1
040208,51186,17411,6
040302,603,513,2
040305,62,53,1
040307,2,2,1
040310,28,24,1
040311,7,7,1
040313,23,22,1
040401,4961,4092,8
040402,0,0,2
040403,0,0,1
040404,0,0,2
040405,0,0,2
040406,0,0,1
040407,0,0,1
040408,0,0,1
040409,0,0,1
040410,50,20,3
040411,0,0,2
040412,0,0,1
040413,0,0,5
040414,0,0,2
040501,3166,1749,4
040502,0,0,1
040503,0,0,2
040504,0,0,2
040505,0,0,2
040506,0,0,1
040507,0,0,1
040508,0,0,1
040509,0,0,1
040510,0,0,1
040511,0,0,3
040512,0,0,1
040513,0,0,1
040514,0,0,2
040515,0,0,1
040516,0,0,1
040517,0,0,3
040518,0,0,1
040519,0,0,1
040520,30536,16999,7
040601,794,590,1
040602,0,0,1
040603,0,0,2
040604,0,0,3
040605,0,0,1
040607,0,0,2
040608,0,0,2
040701,84260,39782,4
040702,898,285,6
040703,403,224,3
040704,650,248,2
040705,0,0,1
040706,425,226,1
040801,705,687,1
040802,0,0,1
040803,0,0,2
040804,0,0,3
040805,0,0,3
040806,0,0,2
040807,0,0,1
040808,0,0,1
040809,0,0,1
040810,0,0,1
040811,0,0,2
050101,32011,22320,8
050102,21,21,5
050104,932,898,5
050105,0,0,5
050107,0,0,3
050109,0,0,3
050110,181335,51889,7
050111,0,0,4
050112,0,0,5
050113,0,0,4
050114,8,8,11
050115,2222,1871,3
050116,26954,18275,5
050201,2194,2095,6
050202,30,30,6
050203,100,98,5
050204,36,36,2
050205,0,0,6
050206,0,0,3
050301,284,275,1
050302,0,0,4
050303,0,0,2
050304,0,0,5
050401,5647,347,2
050407,2001,937,1
050501,147552,146868,1
050503,20876,8701,1
050509,7103,5430,4
050513,2480,2156,1
050601,7195,5215,2
050701,3819,2856,2
050801,369,351,1
050901,530,508,3
050902,0,0,1
050903,0,0,1
050904,0,0,1
050905,0,0,1
050906,0,0,3
050907,0,0,2
050908,0,0,1
050909,0,0,3
050910,0,0,3
050911,40,40,1
051001,440,425,1
051002,0,0,3
051003,0,0,1
051004,0,0,3
051005,30,30,4
051006,0,0,1
051007,0,0,2
051008,0,0,3
051009,0,0,3
051010,18,18,2
051011,0,0,4
051012,0,0,4
051101,264,100,5
051102,0,0,3
051103,0,0,1
051104,0,0,2
051105,0,0,2
051106,0,0,2
051107,0,0,1
051108,0,0,7
060101,94870,90089,36
060102,125,108,3
060103,58,58,1
060104,70,56,3
060105,0,0,11
060106,124,122,5
060107,1,1,2
060108,5907,5796,9
060109,89,86,5
060110,0,0,1
060111,0,0,6
060112,40,39,1
060201,7056,6675,3
060301,8554,7922,2
060302,0,0,2
060303,0,0,6
060305,0,0,1
060306,0,0,2
060307,0,0,5
060308,11,9,4
060310,44,35,4
060312,6,6,3
060401,21251,15754,3
060402,21675,13933,5
060410,66450,36609,15
060417,70551,43831,10
060501,960,905,6
060502,2818,1282,2
060503,0,0,2
060504,0,0,2
060505,0,0,3
060506,0,0,1
060507,1,1,1
060508,1256,784,5
060601,10981,10281,58
060602,0,0,18
060603,0,0,4
060604,0,0,4
060605,0,0,8
060606,0,0,8
060607,107,100,23
060608,0,0,5
060609,0,0,4
060610,0,0,5
060611,0,0,7
060612,0,0,12
060613,0,0,12
060614,0,0,17
060615,0,0,2
060701,7686,4561,43
060702,7,7,4
060703,0,0,13
060801,43509,41631,37
060802,3222,3117,10
060803,220,220,4
060804,265,264,8
060805,54,54,9
060806,54,54,2
060807,226,194,7
060808,2257,2025,1
060809,265,265,8
060810,50,48,2
060811,423,259,8
060812,673,673,6
060901,30585,13254,18
060902,0,0,8
060903,0,0,13
060904,0,0,17
060905,0,0,7
060906,0,0,15
060907,332,332,9
061001,4162,3051,6
061002,1,1,3
061003,0,0,1
061004,10,10,5
061005,91,48,1
061006,28,28,1
061007,617,429,6
061101,316,247,8
061102,0,0,2
061103,0,0,3
061104,0,0,2
061105,0,0,5
061106,0,0,1
061107,0,0,7
061108,0,0,2
061109,0,0,4
061110,0,0,3
061111,0,0,6
061112,0,0,4
061113,0,0,2
061201,647,623,6
061202,0,0,3
061203,0,0,2
061204,0,0,3
070101,479053,297295,41
070102,315295,262694,12
070103,77085,70233,4
070104,0,0,4
070105,0,0,1
070106,78110,69570,17
070107,9667,8818,2
080101,51013,48802,6
080104,68,68,4
080105,6411,5532,6
080106,23322,21506,5
080107,0,0,1
080108,223446,172664,6
080201,0,0,1
080202,0,0,1
080203,0,0,1
080204,0,0,1
080205,0,0,3
080206,0,0,1
080207,0,0,2
080408,0,0,1
080501,0,0,3
080502,0,0,2
080503,0,0,1
080504,0,0,2
080505,0,0,1
080506,0,0,1
080507,0,0,3
080508,0,0,4
080601,28156,18506,11
080602,0,0,1
080603,0,0,2
080604,0,0,4
080605,0,0,2
080606,0,0,2
080607,0,0,1
080608,0,0,1
080701,4157,4077,12
080702,0,0,3
080703,0,0,7
080704,0,0,5
080705,0,0,9
080706,0,0,5
080707,0,0,4
080708,0,0,5
080801,9907,4228,5
080802,0,0,1
080803,0,0,3
080804,0,0,1
080805,0,0,1
080806,0,0,2
080807,0,0,1
080808,0,0,1
080901,59628,34675,10
080902,0,0,19
080903,0,0,5
080904,0,0,3
080905,0,0,2
080906,0,0,7
080907,6471,4886,5
080908,0,0,3
080909,0,0,8
080910,5231,5152,11
080911,0,0,5
080912,0,0,2
080913,0,0,2
080914,0,0,16
080916,0,0,1
080917,0,0,3
080918,0,0,2
081001,0,0,1
081002,0,0,1
081003,0,0,2
081004,0,0,2
081005,0,0,1
081006,0,0,4
081007,0,0,1
081008,0,0,1
081009,0,0,1
081101,0,0,3
081102,0,0,2
081103,0,0,1
081104,0,0,5
081105,0,0,1
081106,0,0,2
081201,0,0,1
081202,0,0,1
081203,0,0,1
081204,0,0,1
081205,0,0,6
081206,0,0,2
081207,14,14,4
081208,0,0,1
081209,0,0,2
081210,0,0,2
081211,0,0,1
081212,0,0,2
081301,4880,4767,1
090101,124381,60266,12
090102,48,48,6
090103,131,129,28
090104,0,0,1
090105,0,0,3
090106,0,0,1
090107,1,1,1
090108,43,43,1
090109,0,0,2
090110,17,17,3
090111,0,0,1
090112,64,64,2
090113,14,14,2
090114,0,0,5
090115,3,3,1
090116,7,7,4
090117,6899,4137,25
090118,41374,13064,2
090119,148,143,6
090201,2166,2067,8
090202,5,5,4
090203,0,0,11
090204,2675,2675,4
090205,1322,1322,4
090206,1291,1291,10
090207,11,11,5
090208,145,145,10
090301,7228,4914,19
090302,2739,1518,8
090303,547,361,1
090304,179,122,4
090305,53,49,2
090306,208,174,5
090307,911,639,2
090308,475,290,1
090309,90,71,1
090310,131,114,2
090311,56,56,3
090312,171,147,3
090401,647,555,4
090402,7,7,4
090403,0,0,2
090404,4,4,4
090405,0,0,2
090406,5,4,1
090407,24,24,4
090408,0,0,1
090409,52,52,2
090410,0,0,2
090411,39,38,4
090412,23,23,2
090413,49,48,2
090501,82,82,3
090502,0,0,4
090503,0,0,3
090504,2,2,2
090505,1,1,1
090506,5,5,5
090507,67,66,5
090508,368,349,2
090509,0,0,3
090510,0,0,6
090511,0,0,3
090601,19,19,2
090602,0,0,2
090603,0,0,3
090604,0,0,1
090605,0,0,1
090606,0,0,3
090607,101,100,9
090608,0,0,1
090609,0,0,2
090610,0,0,2
090611,0,0,3
090612,0,0,1
090613,0,0,8
090614,1,1,1
090615,6,6,3
090616,0,0,1
090701,7468,6745,7
090702,56,54,6
090703,98,96,4
090704,10,10,5
090705,1309,1189,9
090706,372,356,4
090707,101,100,3
090709,21,21,6
090710,0,0,2
090711,197,193,6
090713,1,1,1
090714,105,101,6
090715,33,33,4
090716,59,59,4
090717,177,166,6
090718,50,48,3
090719,328,312,5
090720,98,98,4
090721,111,108,1
090722,28,28,2
090723,6,6,1
090724,1,1,3
090725,0,0,1
100101,26262,14755,14
100102,273097,95312,10
100103,0,0,5
100105,0,0,4
100107,0,0,2
100108,0,0,3
100109,0,0,12
100110,0,0,3
100111,0,0,3
100201,0,0,1
100301,3464,3141,3
100307,63,63,4
100311,170,79,6
100313,120,110,6
100316,0,0,1
100317,2,2,3
100321,11,8,2
100322,4,4,2
100323,14,14,1
100401,0,0,3
100402,0,0,2
100403,0,0,2
100404,0,0,3
100501,3066,2103,6
100502,0,0,2
100503,0,0,3
100504,0,0,5
100505,0,0,1
100506,0,0,1
100508,0,0,1
100509,0,0,3
100510,0,0,4
100511,0,0,3
100601,67723,25482,2
100604,0,0,1
100605,25926,23101,1
100801,0,0,1
100901,0,0,1
101001,696,347,4
101002,12,4,3
101003,50,50,1
101005,59,19,9
101006,2,2,2
101007,0,0,4
110101,687732,266215,27
110102,1090,1090,4
110103,0,0,5
110104,0,0,4
110105,0,0,2
110106,0,0,4
110107,0,0,4
110108,257,251,5
110109,0,0,3
110110,0,0,3
110111,5560,3902,6
110112,2923,2923,6
110113,0,0,5
110114,0,0,4
110201,136860,105706,10
110207,31,31,2
110210,48,44,1
110211,0,0,1
110301,31232,17931,2
110304,50329,18553,1
110305,6070,6070,1
110401,13975,8371,2
110402,0,0,1
110403,0,0,1
110501,152498,110223,6
110505,0,0,1
110506,0,0,1
110507,0,0,1
120101,84596,73957,16
120104,0,0,1
120105,0,0,3
120106,0,0,3
120107,3892,2728,6
120108,0,0,1
120111,2,2,3
120112,0,0,2
120113,0,0,4
120114,204467,91188,27
120116,0,0,1
120117,0,0,1
120119,36,32,2
120120,0,0,1
120121,27,7,2
120122,0,0,2
120124,0,0,10
120125,1,1,2
120126,0,0,5
120127,0,0,1
120128,0,0,2
120129,0,0,2
120130,0,0,1
120132,0,0,1
120133,27,27,7
120134,0,0,1
120135,0,0,13
120136,0,0,1
120201,9449,6777,5
120202,0,0,3
120203,0,0,4
120204,0,0,4
120205,0,0,4
120206,0,0,7
120207,0,0,1
120208,0,0,1
120209,0,0,1
120210,0,0,3
120211,0,0,3
120212,0,0,1
120213,0,0,2
120214,0,0,6
120215,0,0,2
120301,58471,28573,7
120302,6529,5147,32
120303,15722,14368,20
120304,10,10,4
120305,9346,8483,5
120306,0,0,3
120401,30491,20279,4
120402,0,0,7
120403,0,0,5
120404,0,0,1
120405,0,0,1
120406,0,0,1
120407,0,0,1
120408,0,0,1
120409,0,0,1
120410,0,0,1
120411,0,0,1
120412,0,0,1
120413,0,0,1
120414,0,0,2
120415,0,0,1
120416,0,0,2
120417,0,0,1
120418,0,0,3
120419,0,0,3
120420,0,0,1
120421,0,0,1
120422,0,0,2
120423,0,0,4
120424,0,0,2
120425,0,0,2
120426,0,0,3
120427,0,0,2
120428,0,0,1
120429,0,0,1
120430,0,0,1
120431,0,0,5
120432,0,0,1
120433,0,0,1
120434,0,0,3
120501,2875,2821,3
120502,0,0,2
120503,0,0,3
120504,0,0,14
120601,26146,12482,13
120602,0,0,6
120603,47,33,3
120604,2527,1545,13
120605,0,0,6
120606,11360,11354,36
120607,9909,6572,15
120608,0,0,29
120609,0,0,6
120701,23323,19898,14
120702,1481,1431,6
120703,0,0,3
120704,802,758,7
120705,0,0,4
120706,0,0,8
120707,0,0,7
120708,0,0,6
120709,0,0,6
120801,0,0,4
120802,0,0,1
120803,0,0,1
120804,0,0,2
120805,0,0,2
120806,0,0,1
120807,0,0,1
120808,7775,7775,3
120809,0,0,1
120810,0,0,1
120901,0,0,2
120902,0,0,3
120903,0,0,2
120904,0,0,4
120905,0,0,1
120906,0,0,3
120907,0,0,2
120908,0,0,1
120909,0,0,2
130101,256097,237317,39
130102,15520,15520,11
130103,16665,16659,7
130104,3629,1833,7
130105,54394,54247,12
130106,8692,8692,4
130107,13549,13111,8
130108,0,0,1
130109,1002,931,2
130110,0,0,1
130111,33613,24395,8
130112,6527,5617,2
130201,5807,4196,2
130202,2080,2080,1
130203,59541,34091,1
130205,894,894,1
130207,0,0,1
130208,23801,10358,1
130301,377,354,2
130302,0,0,1
130304,0,0,1
130401,39948,33324,3
130402,16,12,1
130403,0,0,2
130501,1655,1427,7
130502,54,54,5
130503,0,0,3
130504,38,38,7
130601,3890,3661,1
130701,2983,2473,2
130702,10443,9802,3
130703,0,0,1
130704,32115,20761,2
130705,0,0,2
130801,332,325,1
130808,101,52,1
130901,15492,11491,9
130902,0,0,10
130903,0,0,5
130904,0,0,3
130905,0,0,9
130906,0,0,5
130907,0,0,5
130908,0,0,5
131001,3098,3016,1
131006,313,310,5
131101,3066,2508,2
131201,5751,4726,4
131202,2944,2918,2
140101,159446,146533,25
140102,0,0,2
140103,0,0,1
140105,528,101,3
140106,2725,1475,5
140107,0,0,1
140108,0,0,1
140110,0,0,1
140111,0,0,1
140112,114221,63618,2
140113,5550,2154,1
140114,0,0,1
140115,0,0,4
140116,0,0,1
140117,9713,8137,2
140119,0,0,1
140120,0,0,1
140202,0,0,1
140203,0,0,1
140204,0,0,1
140205,0,0,1
140206,1097,491,1
140301,27865,18687,7
140303,0,0,1
140304,0,0,1
140305,1896,1710,1
140306,0,0,2
140307,0,0,1
140308,67314,22732,20
140309,0,0,1
140310,0,0,1
150101,1030686,563485,26
150102,16396,16396,1
150103,486474,241843,9
150104,0,0,2
150105,62965,56755,3
150106,9137,9137,4
150107,28,28,1
150108,126737,123096,19
150110,817899,322359,14
150111,62809,53855,4
150112,135551,108531,5
150113,488391,310331,18
150114,232499,143446,8
150115,270910,220843,6
150116,16556,12709,13
150117,72001,67169,16
150118,59542,51009,3
150119,940,899,3
150120,6349,5483,7
150121,173540,138878,10
150122,466805,357234,23
150123,0,0,3
150124,95,92,1
150125,97886,57832,9
150126,0,0,1
150128,55097,43990,5
150129,13064,4279,2
150130,180997,158622,28
150131,261201,233488,32
150132,562781,298207,11
150133,216719,168258,14
150134,5155,5155,1
150135,219593,162566,7
150136,199987,154656,9
150137,73321,71742,6
150140,121458,83798,25
150141,23660,18054,10
150142,310800,216355,10
150143,305203,249825,9
150201,35919,31824,2
150202,5951,4114,1
150204,10595,9609,1
150501,40286,40166,9
150502,0,0,1
150507,4429,334,1
150509,11553,10687,1
150510,23,23,1
150512,5404,1991,1
150514,17404,15820,1
150601,91469,64951,4
150605,31867,28445,2
150701,3843,3514,1
150714,155,43,1
150716,12167,3564,2
150723,0,0,1
150801,150427,123131,4
150810,0,0,1
151001,8348,1092,2
151003,2052,471,2
151007,1038,197,1
151011,3635,243,1
151016,2890,217,1
151018,918,206,1
151023,1518,195,1
160101,168843,151917,12
160107,9194,9194,1
160108,230086,93989,5
160113,8121,7030,3
160201,94924,31375,24
160202,36261,5191,17
160206,63950,14156,14
160210,12084,1216,11
160601,12455,4502,2
160605,4466,4457,1
160606,141,125,1
170101,69663,47468,5
170302,13436,4870,1
180101,192817,77998,4
180104,0,0,1
180106,5440,4604,2
180201,0,0,1
180301,55303,41252,4
180303,6723,5725,1
190101,373,293,4
190102,0,0,4
190103,8104,5533,4
190104,1217,587,8
190105,6,4,5
190107,4184,3601,10
190109,22070,21851,10
190110,54,38,7
190111,21,12,5
190113,19399,15251,3
190201,1552,1380,27
190206,232,208,16
190207,26,25,3
190301,15521,10980,12
190302,80,80,6
190303,0,0,8
190304,116,116,27
190305,749,703,13
190306,1839,1756,21
190307,8031,7248,16
190308,282,282,16
200101,147131,141894,18
200104,57086,52451,13
200105,6788,6675,4
200110,6682,3873,2
200114,18494,12955,1
200115,101829,45223,3
200201,0,0,1
200301,1,1,1
200306,3341,3341,1
200401,26225,16175,3
200406,212,167,5
200501,25777,23923,2
200601,47007,45415,7
200602,90069,36503,1
200701,84737,78155,9
200706,43,43,1
200801,292,290,1
200803,35101,14299,1
210101,162600,63879,19
210102,378,354,3
210104,0,0,1
210105,0,0,1
210106,0,0,1
210107,0,0,1
210108,0,0,1
210110,0,0,1
210111,0,0,2
210113,0,0,1
210201,4642,4399,3
210301,8399,4701,2
210303,57,57,4
210307,0,0,4
210308,0,0,1
210309,205,205,5
210401,2227,1986,2
210402,19535,4428,2
210501,4604,4365,2
210601,2608,2608,2
210607,251,248,5
210608,35752,13479,9
210701,3579,2331,2
210801,5153,4603,3
210802,0,0,1
211001,1803,1803,4
211004,0,0,2
211101,83082,77770,29
211103,0,0,1
211104,0,0,2
211201,1169,1049,1
211301,3521,2291,7
211303,0,0,1
211304,0,0,1
211305,0,0,1
211307,0,0,1
220101,126634,53242,28
220102,4004,1590,2
220103,955,614,1
220104,3340,2030,11
220105,5477,3450,5
220106,2751,1756,2
220201,19060,10081,9
220202,0,0,6
220203,187,152,10
220204,0,0,2
220205,1803,1686,7
220206,5,5,5
220301,2786,2449,5
220302,1,1,2
220303,903,860,5
220304,120,116,5
220305,39,39,2
220401,6437,4965,12
220402,788,648,3
220403,1001,675,2
220404,586,441,2
220405,938,660,2
220406,0,0,1
220501,11545,6179,5
220502,3292,2024,5
220503,809,782,7
220504,1916,1792,9
220505,1040,1004,6
220506,0,0,8
220507,0,0,5
220508,0,0,5
220509,0,0,1
220510,4562,2023,4
220511,0,0,11
220601,40760,25919,8
220602,20,20,7
220603,643,612,7
220604,242,236,6
220605,2,2,5
220701,3569,3227,4
220702,20,20,4
220703,366,331,1
220704,0,0,2
220705,261,249,2
220706,0,0,1
220707,889,806,3
220708,75,69,5
220709,125,117,5
220710,490,437,1
220801,34974,21155,10
220802,2256,1919,4
220803,3107,2817,6
220804,9090,8292,11
220805,3229,2704,8
220806,0,0,1
220807,177,171,2
220808,90,90,2
220809,535,503,1
220901,177097,90206,18
220902,194,190,2
220903,242,233,1
220904,130,124,8
220905,6,6,3
220906,0,0,2
220907,358,335,9
220908,353,348,2
220909,24575,14326,10
220910,8206,7374,2
220911,691,654,6
220912,91,82,3
220913,1444,1357,2
220914,109,107,1
221001,32287,15212,2
221005,1920,1776,3
221006,0,0,1
230101,38965,31835,9
230102,16711,10388,1
230103,183703,38494,1
230104,3478,3219,1
230110,29539,14272,2
230301,0,0,1
230302,12720,9977,2
230303,0,0,2
230401,0,0,1
240101,150958,57031,14
240103,61,61,1
240104,11,11,4
240105,0,0,1
240106,0,0,3
240201,4461,4009,5
240202,19,18,3
240203,4,4,3
240301,1343,1234,4
240302,4112,3608,4
240303,0,0,1
240304,212,194,5
250101,230740,103079,43
250102,270,255,26
250103,103,101,17
250104,74,73,21
250105,29298,24306,23
250106,119,115,10
250107,31695,23669,16
250201,1782,792,21
250202,16,15,5
250203,43,40,8
250204,0,0,3
250301,1263,1108,9
250302,391,362,11
250303,212,209,7
250304,1613,1435,10
250305,50,49,2
250306,297,268,4
250307,0,0,5
250401,0,0,8
